Sr No,Constituency Name,Winners,Party
1,DONDI LOHARA (ST),ANILA BHENDIA,Congress
2,GUNDERDEHI,KUNWER SINGH NISHAD,Congress
3,SANJARI BALOD,SANGEETA SINHA,Congress
4,BALODA BAZAR,Tank Ram Verma,BJP
5,BHATAPARA,INDRA SAO,Congress
6,BILAIGARH (SC),KAVITA PRAN LAHREY,Congress
7,KASDOL,SANDEEP SAHU,Congress
8,RAMANUJGANJ (ST),RAM VICHAR NETAM,BJP
9,SAMRI (ST),UDHHESHWARI PAIKRA,BJP
10,BASTAR (ST),BAGHEL LAKHESHWAR,Congress
11,CHITRAKOT (ST),VINAYAK GOYAL,BJP
12,JAGDALPUR,KIRAN DEO,BJP
13,BEMETARA,DIPESH SAHU,BJP
14,NAWAGARH (SC),DAYALDAS BAGHEL,BJP
15,SAJA,ISHWAR SAHU,BJP
16,BIJAPUR (ST),VIKRAM MANDAVI,Congress
17,BELTARA,Sushant Shukla,BJP
18,BILASPUR,AMAR AGRAWAL,BJP
19,BILHA,Dharam Lal Kaushik,BJP
20,KOTA,ATAL SHRIVASTAVA,Congress
21,MARWAHI (ST),PRANAV KUMAR MARPACHI,BJP
22,MASTURI (SC),DILIP LAHARIYA,Congress
23,TAKHATPUR,DHARMJEET SINGH,BJP
24,DANTEWADA (ST),CHAITRAM ATAMI,BJP
25,DHAMTARI,ONKAR SAHU,Congress
26,KURUD,Ajay Chandrakar,BJP
27,SIHAWA (ST),AMBIKA MARKAM,Congress
28,AHIWARA (SC),DOMANLAL KORSEWADA,BJP
29,BHILAI NAGAR,DEVENDRA YADAV,Congress
30,DURG CITY,Gajendra Yadav,BJP
31,DURG-RURAL,LALIT CHANDRAKAR,BJP
32,PATAN,BHUPESH BAGHEL,Congress
33,BINDRANAWAGARH (ST),JANAK DHRUW,Congress
34,RAJIM,ROHIT SAHU,BJP
35,AKALTARA,RAGHAVENDRA KUMAR SINGH,Congress
36,CHANDRAPUR,RAMKUMAR YADAV,Congress
37,JAIJAIPUR,BALESHWAR SAHU,Congress
38,JANJGIR-CHAMPA,BYAS KASHYAP,Congress
39,PAMGARH (SC),SHESHRAJ HARVANSH,Congress
40,SAKTI,CHARAN DAS MAHANT,Congress
41,JASHPUR (ST),RAYMUNI BHAGAT,BJP
42,KUNKURI (ST),VISHNU DEO SAI,BJP
43,PATHALGAON (ST),GOMATI SAI,BJP
44,KAWARDHA,Vijay Sharma,BJP
45,PANDARIYA,BHAWNA BOHRA,BJP
46,KESHKAL (ST),NEELKANTH TEKAM,BJP
47,KONDAGAON (ST),LATA USENDI,BJP
48,KATGHORA,PREMCHAND PATEL,BJP
49,KORBA,LAKHANLAL DEVANGAN,BJP
50,PALI-TANAKHAR (ST),TULESHWAR HIRA SINGH MARKAM,Gondvana Gantantra Party
51,RAMPUR (ST),PHOOLSINGH RATHIYA,Congress
52,BAIKUNTHPUR,BHAIYA LAL RAJWADE,BJP
53,BHARATPUR-SONHAT (ST),RENUKA SINGH SARUTA,BJP
54,MANENDRAGARH,SHYAM BIHARI JAISWAL,BJP
55,BASNA,SAMPAT AGRAWAL,BJP
56,KHALLARI,DWARIKADHISH YADAV,Congress
57,MAHASAMUND,YOGESHWAR RAJU SINHA,BJP
58,SARAIPALI (SC),CHATURI NAND,Congress
59,LORMI,ARUN SAO,BJP
60,MUNGELI (SC),PUNNULAL MOHLE,BJP
61,NARAYANPUR (ST),KEDAR KASHYAP,BJP
62,DHARAMJAIGARH (ST),LALJEET SINGH RATHIA,Congress
63,KHARSIA,UMESH PATEL,Congress
64,LAILUNGA (ST),VIDYAWATI SIDAR,Congress
65,RAIGARH,OMPRAKASH CHOUDHARY,BJP
66,SARANGARH (SC),UTTARI GANPAT JANGDE,Congress
67,ABHANPUR,Indra Kumar Sahu,BJP
68,ARANG (SC),GURU KHUSHWANT SAHEB,BJP
69,DHARSIWA,Anuj Sharma,BJP
70,RAIPUR CITY NORTH,PURANDAR MISHRA,BJP
71,RAIPUR CITY SOUTH,BRIJMOHAN AGRAWAL,BJP
72,RAIPUR CITY WEST,RAJESH MUNAT,BJP
73,RAIPUR RURAL,MOTILAL SAHU,BJP
74,DONGARGAON,DALESHWAR SAHU,Congress
75,DONGARGARH (SC),HARSHITA SWAMI BAGHEL,Congress
76,KHAIRAGARH,YASHODA NILAMBER VERMA,Congress
77,KHUJJI,BHOLARAM SAHU,Congress
78,MOHLA-MANPUR (ST),INDRASHAH MANDAVI,Congress
79,RAJNANDGAON,DR. RAMAN SINGH,BJP
80,KONTA (ST),KAWASI LAKHMA,Congress
81,BHATGAON,LAXMI RAJWADE,BJP
82,PRATAPPUR (ST),SHAKUNTALA SINGH PORTEY,BJP
83,PREMNAGAR,BHULAN SINGH MARABI,BJP
84,AMBIKAPUR,RAJESH AGRAWAL,BJP
85,LUNDRA (ST),PRABODH MINZ,BJP
86,SITAPUR (ST),POORV SAINIK RAMKUMAR TOPPO,BJP
87,ANTAGARH (ST),VIKRAM USENDI,BJP
88,BHANUPRATAPPUR (ST),SAVITRI MANOJ MANDAVI,Congress
89,KANKER (ST),ASHA RAM NETAM,BJP
90,BINDRAWAGARH(ST),JANAK DHRUW,Congress
