S. no.,Constituency,Winning candidate,Political party
1,Hachhek,Robert Romawia Royte,MNF
2,Dampa,Lalrintluanga Sailo,MNF
3,Mamit,H Lalzirliana,MNF
4,Tuirial,K. Laldawngliana,MNF
5,Kolasib,Lalfamkima,ZPM
6,Serlui,Lalrinsanga Ralte,MNF
7,Tuivawl,Lalchhandama Ralte,MNF
8,Chalfilh,Lalbiakzama,ZPM
9,Tawi,Lalnilawma,ZPM
10,Aizawl North 1,Vanialhana,ZPM
11,Aizawl North 2,Vanlalthlana,ZPM
12,Aizawl North 3,K Sapdanga,ZPM
13,Aizawl East 1,Lalthansanga,ZPM
14,Aizawl East 2,B Lalchhanzova,ZPM
15,Aizawl West 1,TBC Lalvenchhunga,ZPM
16,Aizawl West 2,Lalnghinglova Hmar,ZPM
17,Aizawl West 3,V. L. Zaithanzama,ZPM
18,Aizawl South 1,C. Lalsawivunga,ZPM
19,Aizawl South 2,Lalchhuanthanga,ZPM
20,Aizawl South 3,Baryl Vanneihsangi,ZPM
21,Lengteng,F. Rodingliana,ZPM
22,Tuichang,W. Chhuanawma,ZPM
23,Champhai North,H. Ginzalala,ZPM
24,Champhai South,Clement Lalhmingthanga,ZPM
25,East Tuipui,Ramthanmawia,MNF
26,Serchhip,Lalduhoma,ZPM
27,Tuikum,P.C. Vanlalruata,ZPM
28,Hrangturzo,Lalmuanpuia Punte,ZPM
29,South Tuipui,Jeje Lalpekhlua,ZPM
30,Lunglei North,V. Malsawmtluanga,ZPM
31,Lunglei East,Lalrinpuii,ZPM
32,Lunglei West,T. Lalhlimpuia,ZPM
33,Lunglei South,Lalramliana Papuia,ZPM
34,Thorang,R. Rohmingliana,MNF
35,West Tuipui,Prova Chakma,MNF
36,Tuichawng,Rasik Mohan Chakma,MNF
37,Lawngtlai West,C. Ngunlianchunga,INC
38,Lawngtlai East,Lorrain Lalpekliana Chinzah,ZPM
39,Saiha,K. Beichhua,BJP
40,Palak,K. Hrahmo,BJP
